datasetID,institutionCode,datasetName,scientificName,kingdom,phylum,genus,taxonRank,vernacularName,locality,countryCode,threatStatus,establishmentMeans,source,occurrenceRemarks,status
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Chlidonias niger,Animalia,Chordata,Chlidonias,species,Zwarte stern,Flanders,BE,RE,native,Devos and Anselin (1999),Uitgestorven in Vlaanderen,Regionally Extinct (RE)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Circus aeruginosus,Animalia,Chordata,Circus,species,Bruine kiekendief,Flanders,BE,VU,native,Devos and Anselin (1999),Kwetsbaar,Vulnerable (VU)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Circus pygargus,Animalia,Chordata,Circus,species,Grauwe kiekendief,Flanders,BE,CR,native,Devos and Anselin (1999),Met uitsterven bedreigd,Critically Endangered (CR)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Coturnix coturnix,Animalia,Chordata,Coturnix,species,Kwartel,Flanders,BE,VU,native,Devos and Anselin (1999),Kwetsbaar,Vulnerable (VU)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Acrocephalus schoenobaenus,Animalia,Chordata,Acrocephalus,species,Rietzanger,Flanders,BE,EN,native,Devos and Anselin (1999),Bedreigd,Endangered (EN)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Crex crex,Animalia,Chordata,Crex,species,Kwartelkoning,Flanders,BE,CR,native,Devos and Anselin (1999),Met uitsterven bedreigd,Critically Endangered (CR)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Delichon urbicum,Animalia,Chordata,Delichon,species,Huiszwaluw,Flanders,BE,NT,native,Devos and Anselin (1999),Achteruitgaand,Near Threatened (NT)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Miliaria calandra,Animalia,Chordata,Emberiza,species,Grauwe gors,Flanders,BE,EN,native,Devos and Anselin (1999),Bedreigd,Endangered (EN)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Emberiza citrinella,Animalia,Chordata,Emberiza,species,Geelgors,Flanders,BE,EN,native,Devos and Anselin (1999),Bedreigd,Endangered (EN)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Emberiza hortulana,Animalia,Chordata,Emberiza,species,Ortolaan,Flanders,BE,CR,native,Devos and Anselin (1999),Met uitsterven bedreigd,Critically Endangered (CR)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Emberiza schoeniclus,Animalia,Chordata,Emberiza,species,Rietgors,Flanders,BE,NT,native,Devos and Anselin (1999),Achteruitgaand,Near Threatened (NT)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Galerida cristata,Animalia,Chordata,Galerida,species,Kuifleeuwerik,Flanders,BE,CR,native,Devos and Anselin (1999),Met uitsterven bedreigd,Critically Endangered (CR)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Gallinago gallinago,Animalia,Chordata,Gallinago,species,Watersnip,Flanders,BE,CR,native,Devos and Anselin (1999),Met uitsterven bedreigd,Critically Endangered (CR)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Himantopus himantopus,Animalia,Chordata,Himantopus,species,Steltkluut,Flanders,BE,NT,native,Devos and Anselin (1999),Zeldzaam,Near Threatened (NT)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Hirundo rustica,Animalia,Chordata,Hirundo,species,Boerenzwaluw,Flanders,BE,NT,native,Devos and Anselin (1999),Achteruitgaand,Near Threatened (NT)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Alauda arvensis,Animalia,Chordata,Alauda,species,Veldleeuwerik,Flanders,BE,NT,native,Devos and Anselin (1999),Achteruitgaand,Near Threatened (NT)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Ixobrychus minutus,Animalia,Chordata,Ixobrychus,species,Woudaap,Flanders,BE,CR,native,Devos and Anselin (1999),Met uitsterven bedreigd,Critically Endangered (CR)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Jynx torquilla,Animalia,Chordata,Jynx,species,Draaihals,Flanders,BE,CR,native,Devos and Anselin (1999),Met uitsterven bedreigd,Critically Endangered (CR)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Lanius collurio,Animalia,Chordata,Lanius,species,Grauwe klauwier,Flanders,BE,CR,native,Devos and Anselin (1999),Met uitsterven bedreigd,Critically Endangered (CR)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Lanius excubitor,Animalia,Chordata,Lanius,species,Klapekster,Flanders,BE,CR,native,Devos and Anselin (1999),Met uitsterven bedreigd,Critically Endangered (CR)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Lanius senator,Animalia,Chordata,Lanius,species,Roodkopklauwier,Flanders,BE,NT,native,Devos and Anselin (1999),Zeldzaam,Near Threatened (NT)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Larus argentatus,Animalia,Chordata,Larus,species,Zilvermeeuw,Flanders,BE,VU,native,Devos and Anselin (1999),Kwetsbaar,Vulnerable (VU)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Larus canus,Animalia,Chordata,Larus,species,Stormmeeuw,Flanders,BE,NT,native,Devos and Anselin (1999),Zeldzaam,Near Threatened (NT)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Larus fuscus,Animalia,Chordata,Larus,species,Kleine mantelmeeuw,Flanders,BE,VU,native,Devos and Anselin (1999),Kwetsbaar,Vulnerable (VU)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Larus melanocephalus,Animalia,Chordata,Larus,species,Zwartkopmeeuw,Flanders,BE,NT,native,Devos and Anselin (1999),Zeldzaam,Near Threatened (NT)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Locustella luscinioides,Animalia,Chordata,Locustella,species,Snor,Flanders,BE,CR,native,Devos and Anselin (1999),Met uitsterven bedreigd,Critically Endangered (CR)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Alcedo atthis,Animalia,Chordata,Alcedo,species,Ijsvogel,Flanders,BE,VU,native,Devos and Anselin (1999),Kwetsbaar,Vulnerable (VU)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Locustella naevia,Animalia,Chordata,Locustella,species,Sprinkhaanzanger,Flanders,BE,VU,native,Devos and Anselin (1999),Kwetsbaar,Vulnerable (VU)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Lullula arborea,Animalia,Chordata,Lullula,species,Boomleeuwerik,Flanders,BE,VU,native,Devos and Anselin (1999),Kwetsbaar,Vulnerable (VU)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Luscinia megarhynchos,Animalia,Chordata,Luscinia,species,Nachtegaal,Flanders,BE,VU,native,Devos and Anselin (1999),Kwetsbaar,Vulnerable (VU)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Milvus milvus,Animalia,Chordata,Milvus,species,Rode wouw,Flanders,BE,NT,native,Devos and Anselin (1999),Zeldzaam,Near Threatened (NT)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Nycticorax nycticorax,Animalia,Chordata,Nycticorax,species,Kwak,Flanders,BE,NT,native,Devos and Anselin (1999),Zeldzaam,Near Threatened (NT)
https://doi.org/10.15468/54nwog,INBO,"Non-validated red lists of Flanders, Belgium",Oenanthe oenanthe,Animalia,Chordata,Oenanthe,species,Tapuit,Flanders,BE,CR,native,Devos and Anselin (1999),Met uitsterven bedreigd,Critically Endangered (CR)
